Producer      Producer key                                              Url                                                         Scaled votes
libertyblock  EOS7TqVs7LpMzJwikiWkGTG9UGSwcQVhxP2ZKBM7FCbUwcrryNgHP     https://libertyblock.io                                     0.0102
moonxwitheos  EOS7N8oWEpqwQ8oetS8ENSGLMxsG6cvG12nCojgfNKdf3xe1asPiw     https://moonxwitheos.com                                    0.0101
games.eos     EOS8RPaLn29zeBcjFfQzS1Pb1VoyJkGY7ePATzFbfgWvf9LJkTmvC                                                                 0.0093
cryptolions1  EOS5yHaUBwhpwFftNjADdVwBpCVybLPg5P3z7HpTbDGjUfpqwWSSf     https://cryptolions.io                                      0.0092
eoscybexiobp  EOS5dN7CQRh98Ecx4mZNgq9DWLFJALPGmaFuuG3MYCRrVfUmDTV45     https://eos.cybex.io/                                       0.0083
alohaeosprod  EOS53pfXfxZ4tH3EGccdnGvBZVJsrcSf2nbCKiLLMphgaii9XxxhM     https://www.alohaeos.com                                    0.0083
eosfengwocom  EOS7qfQTT4xsPHmS8ywD9beppViEQ2TdejpLUcgXir5ofzn6qr1dW     https://eosfengwo.com                                       0.0081
eossiriussbp  EOS6R99FWXvh53cN6dtgNRrcJWXzvr49QM1JnSgvNJe6ZTXyjGBTe     https://eossirius.xyz                                       0.0078
eostribeprod  EOS7gD4EXA96SEQ9RQrLfbU19tLHmGPcJXSPXdkrQh4bCkUghg6QE     https://eostribe.io                                         0.0077
eosgenblockp  EOS6y277mUAuj1Pn3uUiqmDTME2ujhRCVQtw6pCQ8q3uFfwEVjoJ1     https://www.genesis-mining.com/eos                          0.0076
oraclegogogo  EOS6yuqAb4eASpqJzfkPgh6sSX5Uy4vaTTJQJSXzuS6QV8Z6KSWJG     https://oraclechain.io                                      0.0075
itokenpocket  EOS8BYCigFER1XBbMqD3GjVVF5B3BmB1E1nkjJJTxPX4tmdS3YwMR     https://www.mytokenpocket.vip                               0.0074
eossnzpoolbp  EOS6gQeftj3V2yuGdxAJcNfNAw2PpsjftYK4PrmW6uob6xgYcQHKw     http://snzholding.com/                                      0.0073
eosamsterdam  EOS8HDwgQnKMHAxzva9eyHsPeETv23JSQ6RRzQjJLvCsZ6b1ySgQo     https://eosamsterdam.net                                    0.0072
eoslambdacom  EOS5WU7KKVyqFPYtK2wbqvWN9mK4cvr8naqYsZ5LjEEszsmFsm7Qc     https://bridgepool.lambda.im                                0.0072
blocksmithio  EOS6XVaKPQNJeyCdKXG3VbLD7VZZbah8jNQBafCySPgzEtnNiM7L8     https://eosblocksmith.io                                    0.0071
eosvolgabpru  EOS57GDRS9QJWBJie9yQAxvrDKw9p6wiiQ9B8Sv2uJ7WazowB4pkK     https://eosvolga.one                                        0.0069
eosyskoreabp  EOS7TjKVBkBcSmjsXF4jJfZ1QU9RqVHuBkkcHNJoEcHGR79CoLf2f     https://eosys.io                                            0.0068
eosrapidprod  EOS8QEFsgUWj7BscQNkiremtpSoRkzwDqmCPpKKCHYXGNaqxXFQ4h     http://www.eosrapid.com/                                    0.0068
eosnodeonebp  EOS5jc4oQrKhKazEHVb1pdrhuzURDUVY4yXXv93tyZ2XdNik44VGD     https://eosnodeone.io                                       0.0066
tokenika4eos  EOS8Src8Nd3EoJpewmPzSDjZP8A3iLuHky4itLqWwuCjPNdCztrVL     https://tokenika.io                                         0.0066
eoszhizhutop  EOS5rmsDiYCtEgsEpZvcxNvLcxStufWALs4Lmfy85pnJKTdPjcpuT     https://eos.zhizhu.top/                                     0.0063
aus1genereos  EOS57ZyzVjoEG2bvzmYmmeiH8YnYtRudxNKxppx17q7Hg29F8tW4t     https://www.genereos.io                                     0.0062
eospacificbp  EOS5RVMEH23hYRjhW2VoKNQCM1ooLhVgFpC38e8bWV2YzefyGZbMY     https://www.nodepacific.com/                                0.0062
eosisgravity  EOS8UFLCQ8n2PzbKFv8CU87fQKXeyNXr3fn2oMwFayEYyCpkFG3YF     http://eosgravity.com                                       0.0062
geosoneforbp  EOS7CjPeMYUj2Ydmw667JJNsQA5mige9YE4FVxMCT81Jst3SRVbX3     https://www.geos.one                                        0.0060
hkeoshkeosbp  EOS8SXELcUbgtBTmi7of9CJTUc6eGPw68G8ph7nLD7wpHkEosEShs     https://www.hkeos.com                                       0.0060
eosstorebest  EOS857vKqpcN7Tt7zCab47CCpjvGcaKbf7MpTwN3ktGsDToynSuTA     https://www.eosstore.co                                     0.0059
eosdublinwow  EOS5bjub7pm8H9WLMYW5ETSwfFKrEJpVWwiwK5knvGAqLVUjEpLxx     https://www.eosdublin.com                                   0.0057
eosplayworld  EOS8hzGgYc4am5twGS84kopk5uz4vChhHrCDRV4H6FPtREehzKvTk     http://eosplay.world                                        0.0057
eosnairobike  EOS8AUQK2XQo9StudQqDFn1riSHKaDwXiUjDPNGtDad6hLd2PnDGc     https://www.eosnairobi.io                                   0.0057
paytomateosp  EOS62DzQLxR9ZbHvUejEiY5e7PRzD1XnU74D14ZfU6bCgiGfiKwJJ     https://paytomat.com/                                       0.0055
sheos21sheos  EOS5nUybopuNRPp4Lgpt3BCxT3j2Zw3BftJha8gLbJFvMQBMC3ToL     https://sheos.org                                           0.0055
eoscleanerbp  EOS78TFJoRhhQBbAwvdknietfteVYt4GW8bdKSPnw3t3eWHfLrKG4     https://eoscleaner.com                                      0.0055
superoneiobp  EOS6jtExp2sGpxMY8jFP1aBhDkdyHvuMS7EAVgDWQ7kaeMtdLH34U     https://superone.io                                         0.0055
eosiodetroit  EOS6cGjgMnrdsBt5zAjpvqUdPiSjHjdQdsF1tpTG8Dpz9rPitHUMd     https://eosdetroit.io                                       0.0055
ecoboost1111  EOS5g9D7uJuEwNzby2uAu1qVxLishXJm1T2odBPxdU3UzP7xYwVA5     https://ecoboost.app/                                       0.0054
eosmatrixeos  EOS7bXYArQpZTji97zpQK8CvUyef3fanEQuWHTSdiTNfZeacCi3wn     https://eosmatrix.co                                        0.0053
stakingeosbp  EOS5qRrHJsVLU1ZvG6A3Em35n9hZzt8JBCDaBScz3EodTbgejMUR9     https://www.stakingbp.com                                   0.0053
moreisfuture  EOS671RDSn2embqDJhFHKWZqqCfVgNAmi2p3vQZfQBX77GypcGoF2     https://more.top                                            0.0052
eoshenzhenio  EOS8EJrMphgHJx5EkHQ4ryodbvnocZEC1xp5T1FnRsT7XtzYA1FE7     https://eoshenzhen.io                                       0.0051
eosphereiobp  EOS5FYRrG3ThNU56d3uZ8d4bo4MsN5Fig9WPY3xYSpH3RqPhpoH3A     https://www.eosphere.io                                     0.0051
newdex.bp     EOS7eygG47yodHQpMTFSzutDci8EAXQC9H5B3NWGZE8V7HjBybaC5     https://newdex.one                                          0.0050
eosvenezuela  EOS7pUMws312EjWwCcyMvV8hJiN5DFePdxsCknTJsrthp1an2AZXu     https://eosvenezuela.io                                     0.0050
